11 Demographic trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total
(millions)",,,,,,"Average annual growth
(%)",,,,"Urban
(% of total)a",,,,"Median age
(years)",,,,Dependency ratio ,,,,Total fertility rate,,,,Sex ratio at birth ,,,
,,(millions),,,,,,(%),,,,(% of total)a,,,,(years),,,,(per 100 people ages 15–64),,,,(births per woman),,,,(male births per 100 female births)b,,,
HDI rank,,1990,,2010,,2030,,1990–1995,,2010–2015,,1990,,2010,,1990,,2010,,1990,,2010,,1990–1995,,2010–2015,,1990,,2010,
VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,4.2,,4.9,,5.5,,0.5,,0.7,,72.0,,79.4,,35.4,,38.9,,54.4,,51.0,,1.9,,1.9,,105.2,,105.4,
2,Australia,17.1,,21.5,,25.7,,1.2,,1.0,,85.4,,89.1,,32.2,,37.8,,49.8,,48.8,,1.9,,1.9,,105.2,,105.3,
3,New Zealand,3.4,,4.3,,5.0,,1.7,,0.9,,84.7,,86.2,,31.0,,36.6,,51.9,,49.7,,2.1,,2.0,,105.1,,105.8,
4,United States,254.9,,317.6,,370.0,,1.2,,0.9,,75.3,,82.3,,32.8,,36.6,,51.7,,49.6,,2.0,,2.0,,104.9,,105.1,
5,Ireland,3.5,,4.6,,5.6,,0.5,,1.3,,56.9,,61.9,,29.1,,34.6,,63.1,,47.3,,2.0,,1.9,,105.7,,106.4,
6,Liechtenstein,0.0,,0.0,,0.0,,1.3,,0.8,,16.9,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,
7,Netherlands,15.0,,16.7,,17.5,,0.7,,0.3,,68.7,,82.9,,34.5,,40.8,,45.1,,49.2,,1.6,,1.8,,104.7,,105.2,
8,Canada,27.7,,33.9,,40.1,,1.1,,0.9,,76.6,,80.6,,32.9,,39.9,,47.0,,43.8,,1.7,,1.6,,104.9,,105.1,
9,Sweden,8.6,,9.3,,10.1,,0.6,,0.4,,83.1,,84.7,,38.3,,40.9,,55.6,,53.4,,2.0,,1.9,,105.4,,105.7,
10,Germany,79.4,,82.1,,77.9,,0.5,,-0.2,,73.1,,73.9,,37.7,,44.3,,45.0,,51.1,,1.3,,1.3,,105.5,,105.4,
11,Japan,123.2,,127.0,,117.4,,0.4,,-0.2,,63.1,,66.8,,37.4,,44.7,,43.5,,55.7,,1.5,,1.3,,105.0,,105.5,
12,Korea (Republic of),43.0,,48.5,,49.1,,0.8,,0.3,,73.8,,83.0,,27.0,,37.9,,44.1,,37.4,,1.7,,1.3,,112.6,,110.0,
13,Switzerland,6.7,,7.6,,8.1,,0.9,,0.4,,73.2,,73.6,,36.9,,41.9,,46.2,,48.0,,1.5,,1.5,,104.4,,105.1,
14,France,56.8,,62.6,,66.5,,0.4,,0.4,,74.1,,85.3,,34.9,,40.1,,52.1,,54.7,,1.7,,1.9,,104.9,,104.3,
15,Israel,4.5,,7.3,,9.2,,3.5,,1.4,,90.4,,91.9,,25.8,,29.7,,67.7,,60.8,,2.9,,2.6,,104.9,,105.9,
16,Finland,5.0,,5.3,,5.5,,0.5,,0.3,,79.4,,85.1,,36.4,,42.0,,48.6,,50.9,,1.8,,1.9,,104.5,,104.6,
17,Iceland,0.3,,0.3,,0.4,,1.0,,1.4,,90.8,,93.4,,30.0,,35.1,,55.3,,47.2,,2.2,,2.1,,104.8,,106.0,
18,Belgium,9.9,,10.7,,11.3,,0.3,,0.3,,96.4,,97.4,,36.3,,41.3,,49.3,,51.9,,1.6,,1.8,,105.5,,104.8,
19,Denmark,5.1,,5.5,,5.6,,0.3,,0.2,,84.8,,86.9,,37.1,,40.8,,48.4,,53.2,,1.8,,1.9,,105.5,,105.8,
20,Spain,38.8,,45.3,,49.8,,0.3,,0.8,,75.4,,77.4,,33.7,,40.2,,50.2,,47.3,,1.3,,1.6,,105.8,,106.4,
21,"Hong Kong, China (SAR)",5.7,,7.1,,8.2,,1.7,,0.9,,99.5,,100.0,,31.0,,41.9,,42.8,,32.3,,1.3,,1.0,,107.8,,108.1,
22,Greece,10.2,,11.2,,11.2,,1.0,,0.1,,58.8,,61.4,,36.1,,41.6,,49.1,,48.2,,1.4,,1.4,,105.6,,106.6,
23,Italy,57.0,,60.1,,59.5,,0.1,,0.2,,66.7,,68.4,,37.1,,43.3,,46.2,,52.9,,1.3,,1.4,,105.9,,105.5,
24,Luxembourg,0.4,,0.5,,0.6,,1.4,,1.1,,81.0,,85.2,,36.4,,39.3,,44.5,,46.3,,1.7,,1.7,,104.4,,106.5,
25,Austria,7.7,,8.4,,8.6,,0.7,,0.2,,65.8,,67.6,,35.7,,41.8,,48.0,,47.7,,1.5,,1.4,,105.3,,105.4,
26,United Kingdom,57.2,,61.9,,68.0,,0.3,,0.5,,78.1,,79.6,,35.8,,39.9,,53.2,,51.4,,1.8,,1.9,,104.6,,105.0,
27,Singapore,3.0,,4.8,,5.5,,2.9,,0.9,,100.0,,100.0,,29.3,,40.6,,37.1,,34.7,,1.8,,1.3,,107.4,,107.3,
28,Czech Republic,10.3,,10.4,,10.5,,0.0,,0.2,,75.2,,73.5,,35.2,,39.6,,51.5,,41.5,,1.7,,1.5,,104.9,,105.7,
29,Slovenia,1.9,,2.0,,2.0,,0.4,,0.2,,50.4,,49.5,,34.1,,41.7,,47.1,,43.3,,1.4,,1.5,,105.1,,105.3,
30,Andorra,0.1,,0.1,,0.1,,4.1,,1.5,,94.7,,88.0,,..,,..,,..,,..,,..,,..,,..,,..,
31,Slovakia,5.3,,5.4,,5.3,,0.4,,0.1,,56.5,,55.0,,31.3,,37.2,,55.2,,37.8,,1.9,,1.4,,104.3,,105.5,
32,United Arab Emirates,1.9,,4.7,,6.6,,5.3,,2.0,,79.1,,84.1,,27.4,,31.7,,45.2,,25.2,,3.9,,1.9,,104.1,,105.3,
33,Malta,0.4,,0.4,,0.4,,1.0,,0.3,,90.4,,94.7,,33.0,,39.0,,51.3,,42.9,,2.0,,1.3,,105.7,,106.0,
34,Estonia,1.6,,1.3,,1.3,,-1.7,,-0.0,,71.1,,69.5,,34.4,,39.6,,51.0,,48.0,,1.6,,1.8,,105.0,,105.6,
35,Cyprus,0.7,,0.9,,1.1,,1.4,,1.0,,66.8,,70.3,,30.9,,36.5,,58.1,,44.2,,2.4,,1.6,,107.1,,106.8,
36,Hungary,10.4,,10.0,,9.5,,-0.1,,-0.2,,65.8,,68.1,,36.4,,39.8,,50.6,,45.2,,1.7,,1.4,,104.7,,105.9,
37,Brunei Darussalam,0.3,,0.4,,0.5,,2.8,,1.7,,65.8,,75.7,,23.4,,27.8,,59.2,,42.4,,3.1,,2.0,,108.4,,106.7,
38,Qatar,0.5,,1.5,,2.0,,2.4,,1.6,,92.2,,95.8,,29.6,,30.1,,40.5,,20.5,,4.1,,2.3,,103.8,,105.4,
39,Bahrain,0.5,,0.8,,1.1,,3.2,,1.8,,88.1,,88.6,,25.9,,28.1,,50.8,,39.3,,3.4,,2.1,,107.5,,105.2,
40,Portugal,10.0,,10.7,,10.6,,0.1,,0.1,,47.9,,60.7,,34.2,,41.0,,51.0,,49.3,,1.5,,1.4,,105.2,,106.0,
41,Poland,38.1,,38.0,,36.2,,0.3,,-0.1,,61.3,,61.0,,32.3,,38.2,,54.3,,39.4,,1.9,,1.3,,105.0,,105.7,
