16 Enabling environment: economy and infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,ECONOMY,,,,,,,,,,PHYSICAL INFRASTRUCTURE,,,,,,,,MEDIA INFRASTRUCTURE,,,,,
,,GDP ,,,,GDP per capita ,,,,Consumer price index ,,Road density,,Rail lines,,Air transport (freight),,Population without electricity ,,Daily newspapers,,Radio coverage,,Television coverage,
,,(US$ billions),,(PPP US$ billions),,(US$),,Average annual growth rate (%),,"Average annual change
(%)",,(km of road per sq. km of land area),,(km),,(million tonnes per km),,(% of population),,(per thousand people),,(% of population),,(% of population),
HDI rank,,2008,,2008,,2008,,1970–2008,,2000–2008,,2004–2007a,,2004–2008a,,2005–2008a,,2008,,2004,,2005,,2005,
VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,451.8,,280.0,,"94,759",,2.6,,1.7,,29,,"4,114",,..,,..,,516,,100,,98,
2,Australia,"1,015.2",,831.2,,"47,370",,1.9,,3.0,,..,,"9,661",,"2,212",,..,,155,,100,,100,
3,New Zealand,129.9,,116.4,,"30,439",,1.2,,2.7,,35,,..,,921,,..,,182,,100,,100,
4,United States,"14,591.4",,"14,591.4",,"46,350",,1.9,,2.8,,68,,"227,058",,"39,314",,..,,193,,..,,..,
5,Ireland,267.6,,185.2,,"60,460",,3.5,,3.6,,..,,"1,919",,..,,..,,182,,..,,..,
6,Liechtenstein,..,,..,,..,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,
7,Netherlands,871.0,,673.6,,"52,963",,1.9,,2.0,,372,,"2,896",,"4,903",,..,,307,,100,,100,
8,Canada,"1,501.3",,"1,301.7",,"45,070",,1.9,,2.2,,14,,"57,216",,"1,389",,..,,175,,92,,95,
9,Sweden,479.0,,340.8,,"51,950",,1.6,,1.5,,95,,"9,830",,..,,..,,481,,100,,100,
10,Germany,"3,649.5",,"2,904.6",,"44,446",,1.9,,1.7,,181,,"33,862",,"8,353",,..,,267,,..,,..,
11,Japan,"4,910.8",,"4,358.5",,"38,455",,2.1,,-0.1,,316,,"20,048",,"8,173",,..,,551,,..,,..,
12,Korea (Republic of),929.1,,"1,344.4",,"19,115",,5.6,,3.1,,103,,"3,381",,"8,727",,..,,..,,100,,100,
13,Switzerland,491.9,,324.4,,"64,327",,1.1,,1.0,,173,,"3,499",,"1,182",,..,,420,,100,,99,
14,France,"2,856.6",,"2,121.7",,"44,508",,1.8,,1.9,,172,,"29,901",,"6,188",,..,,163,,100,,100,
15,Israel,202.1,,204.0,,"27,652",,1.9,,1.7,,81,,"1,005",,902,,0.0,,..,,..,,..,
16,Finland,272.7,,192.3,,"51,323",,2.2,,1.5,,23,,"5,919",,543,,..,,431,,100,,100,
17,Iceland,16.7,,11.7,,"52,479",,2.5,,4.9,,13,,..,,..,,..,,552,,100,,100,
18,Belgium,504.2,,377.3,,"47,085",,2.0,,2.2,,499,,"3,513",,982,,..,,165,,..,,..,
19,Denmark,341.3,,202.4,,"62,118",,1.6,,2.0,,168,,"2,133",,..,,..,,353,,100,,100,
20,Spain,"1,604.2",,"1,442.9",,"35,215",,2.1,,3.2,,..,,"15,046",,"1,306",,..,,144,,..,,..,
21,"Hong Kong, China (SAR)",215.4,,306.5,,"30,863",,4.6,,0.0,,184,,..,,..,,..,,..,,48,,23,
22,Greece,355.9,,329.9,,"31,670",,2.0,,3.3,,89,,"2,552",,78,,..,,..,,98,,98,
23,Italy,"2,303.1",,"1,871.7",,"38,492",,1.7,,2.3,,162,,"16,862",,"1,279",,..,,137,,100,,100,
24,Luxembourg,53.7,,38.6,,"109,903",,2.9,,2.4,,201,,275,,..,,..,,255,,100,,100,
25,Austria,413.5,,316.1,,"49,599",,2.2,,2.0,,128,,"5,755",,421,,..,,311,,100,,98,
26,United Kingdom,"2,674.1",,"2,178.2",,"43,541",,1.9,,3.0,,172,,"16,321",,"6,284",,..,,290,,..,,..,
27,Singapore,181.9,,238.5,,"37,597",,5.0,,1.3,,472,,..,,..,,0.0,,361,,..,,..,
28,Czech Republic,215.5,,256.9,,"20,673",,0.2,,2.5,,163,,"9,487",,27,,..,,183,,..,,..,
29,Slovenia,54.6,,56.3,,"27,019",,2.4,,4.4,,191,,"1,228",,..,,..,,..,,..,,..,
30,Andorra,..,,..,,..,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,
31,Slovakia,98.5,,119.7,,"18,212",,0.9,,5.1,,89,,"3,592",,46,,..,,126,,..,,..,
32,United Arab Emirates,..,,..,,..,,4.2,,..,,5,,..,,..,,0.0,,..,,100,,100,
33,Malta,..,,..,,..,,4.3,,2.5,,705,,..,,..,,..,,..,,100,,100,
