Timestamp,Editor ou IDE que você usa para programar em Python a maior parte do tempo,Sistema operacional do computador que você usa ao programar aplicações Python,Outros editores ou IDE que você usou por 12 horas ou mais em 2012 (opcional)
12/27/2012 12:27:24,Eclipse + PyDev,GNU/Linux,"Eclipse + PyDev, Kate e derivados, Kdevelop, Sublime Text, vim"
12/27/2012 12:28:25,PyCharm,Mac OSX,"Geany, PyCharm, vim"
12/27/2012 12:28:27,vim,Mac OSX,"Gedit, PyCharm, Sublime Text, TextMate"
12/27/2012 12:28:41,Sublime Text,GNU/Linux,
12/27/2012 12:30:55,Emacs e derivados,GNU/Linux,"Sublime Text, vim"
12/27/2012 12:31:49,Sublime Text,GNU/Linux,"PyCharm, vim"
12/27/2012 12:32:59,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, PyCharm"
12/27/2012 12:33:07,Sublime Text,GNU/Linux,Sublime Text
12/27/2012 12:33:14,Aptana,Windows,IDLE
12/27/2012 12:33:15,Eclipse + PyDev,Windows,Sublime Text
12/27/2012 12:33:26,PyCharm,Windows,Eclipse + PyDev
12/27/2012 12:40:14,Sublime Text,GNU/Linux,"Netbeans, NotePad++ (software livre para Windows), Sublime Text"
12/27/2012 12:42:53,Gedit,GNU/Linux,
12/27/2012 12:43:17,Aptana,GNU/Linux,"Aptana, Eclipse + PyDev, NotePad++ (software livre para Windows)"
12/27/2012 12:43:32,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Komodo Edit (gratuito)"
12/27/2012 12:45:07,Sublime Text,Mac OSX,TextMate
12/27/2012 12:46:48,vim,GNU/Linux,"Gedit, Komodo Edit (gratuito), vim"
12/27/2012 12:47:18,Sublime Text,GNU/Linux,Eclipse + PyDev
12/27/2012 12:48:06,vim,GNU/Linux,
12/27/2012 12:48:51,Sublime Text,GNU/Linux,"Eclipse + PyDev, Gedit, PyCharm, Sublime Text, vim"
12/27/2012 12:49:26,Sublime Text,Mac OSX,"Geany, PyCharm, TextMate"
12/27/2012 12:50:42,Aptana,GNU/Linux,"Gedit, vim"
12/27/2012 12:52:25,PyCharm,Mac OSX,"Eclipse + PyDev, WingIDE"
12/27/2012 12:52:33,Sublime Text,Mac OSX,"Gedit, vim"
12/27/2012 12:53:49,vim,Mac OSX,
12/27/2012 12:55:01,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Emacs e derivados, Gedit, vim"
12/27/2012 12:55:47,Sublime Text,GNU/Linux,"Eclipse + PyDev, Gedit, Kate e derivados, Netbeans, NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows), NotePad2 (software livre para Windows), Sublime Text, vim, Visual Studio"
12/27/2012 18:59:54,Eclipse + PyDev,GNU/Linux,IDLE
12/27/2012 19:03:56,PyCharm,GNU/Linux,Sublime Text
12/27/2012 19:08:32,vim,GNU/Linux,
12/27/2012 19:09:07,vim,Mac OSX,"Gedit, PyCharm"
12/27/2012 19:09:55,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Gedit, NotePad++ (software livre para Windows)"
12/27/2012 19:10:43,Sublime Text,GNU/Linux,Gedit
12/27/2012 19:13:20,Sublime Text,Windows,Komodo Edit (gratuito)
12/27/2012 19:13:40,vim,GNU/Linux,"Komodo Edit (gratuito), Sublime Text"
12/27/2012 19:15:09,vim,GNU/Linux,Eclipse + PyDev
12/27/2012 19:15:36,vim,GNU/Linux,IDLE
12/27/2012 19:15:41,PyCharm,Mac OSX,"Komodo Edit (gratuito), Sublime Text"
12/27/2012 19:18:14,Sublime Text,Mac OSX,"Eclipse + PyDev, vim"
12/27/2012 19:18:28,vim,GNU/Linux,
12/27/2012 19:21:24,PyCharm,Mac OSX,"Komodo Edit (gratuito), Sublime Text, TextMate"
12/27/2012 19:25:24,Sublime Text,GNU/Linux,"Geany, NotePad++ (software livre para Windows), vim"
12/27/2012 19:29:06,Geany,GNU/Linux,"Gedit, Sublime Text, vim, WingIDE"
12/27/2012 19:30:19,Eclipse + PyDev,GNU/Linux,vim
12/27/2012 19:30:19,WingIDE,GNU/Linux,"Aptana, Eclipse + PyDev, Geany, Gedit, Komodo IDE (pago), Netbeans"
12/27/2012 19:31:02,PyCharm,Mac OSX,
12/27/2012 19:31:20,Sublime Text,GNU/Linux,Gedit
12/27/2012 19:39:57,PyCharm,Mac OSX,TextMate
12/27/2012 19:40:38,PyCharm,Windows,NotePad++ (software livre para Windows)
12/27/2012 19:41:11,PyCharm,Mac OSX,Emacs e derivados
12/27/2012 19:45:54,Sublime Text,GNU/Linux,"Gedit, vim"
12/27/2012 19:46:35,PsPad,GNU/Linux,"PyCharm, Spyder, Sublime Text"
12/27/2012 19:48:21,Sublime Text,Mac OSX,"Eclipse + PyDev, PyCharm, Sublime Text"
12/27/2012 20:02:24,Emacs e derivados,GNU/Linux,"Emacs e derivados, NotePad++ (software livre para Windows), Sublime Text"
12/27/2012 20:04:31,Eclipse + PyDev,Mac OSX,Gedit
12/27/2012 20:09:09,PyCharm,GNU/Linux,vim
